id,words,answer
197032,"['fact', 'property', 'emerges', 'interaction', u'region', 'separated', 'neel', 'bloch', u'wall', 'demonstrated', 'barkhausen', 'effect']",Ferromagnetism
427,"['often', 'cited', 'secular', 'analogue', 'lamentation', 'cappella', 'di', 'eleonora']",Venus
197038,"[u'object', u'posse', 'magnetic', 'field', 'whose', 'axis', 'symmetry', 'offset', 'rotation', 'axis', 'giving', 'rise', 'lighthouse', 'effect']",Pulsar
197047,"['one', 'representation', 'quantity', 'equal', 'momentum', 'squared', 'two', u'time', 'mass', 'represented', 'lagrangian', 'capital', 'equipartition', 'theorem', u'dictate', u'molecule', 'ideal', 'gas', 'quantity', 'equal', 'threehalves', u'time', 'boltzmann', 'constant', u'time', 'temperature']",Kinetic energy
197051,"['glaucophytes', 'microscopic', u'variety', u'organism', 'lichen', 'composed', 'fungus', 'one']",Algae
197056,"['fixed', 'gap', 'h', 'used', 'one', 'variation', 'operation', 'improves', 'upon', 'simpler', 'version', 'h', 'would', 'always', 'equal', 'one']",Sorting algorithm
197064,"['quantity', 'calculated', 'using', 'eyring', 'equation']",Activation energy
197067,"['structure', 'associated', 'lysosomal', 'storage', 'disease', 'caused', 'deficiency', 'alphagalactosidase', 'known', 'fabrys', 'disease']",X chromosome
197071,"['p', 'r', 'used', 'name', u'process', 'occur', u'event', 'presence', 'balmer', 'series', u'spectrum', 'used', 'categorize']",Supernova
197076,"['canal', 'ray', u'tube', 'used', 'investigate', 'form', 'phenomenon', 'predicted', 'special', 'relativity', 'ivesstillwell', 'experiment']",Doppler effect
484,"['painting', u'wa', 'originally', 'supposed', 'serve', 'companion', 'piece', 'giovanni', 'rosts', 'innocence', 'tapestry', u'study', 'iconology', 'erwin', 'panofsky', u'ha', 'argued', 'represents', 'critique', 'luxury']",Venus
197094,"[u'substance', 'usually', 'exhibit', 'nonmaxwellian', 'velocity', 'distribution', 'cold', u'variety', 'could', 'theoretically', 'form', 'rydberg', 'matter']",Plasma (physics)
197103,"['man', 'explored', 'nonuniformity', 'arising', 'reactiondiffusion', u'system', 'chemical', 'basis', 'morphogenesis']",Alan Turing
197112,"['b', 'variety', 'structure', u'form', 'backbone', 'ntfs', 'btrfs', 'buttereffess']",Tree (graph theory)
197123,"['dmc1', 'rad51', u'gene', 'involved', 'pachytene', 'process', 'synaptonemal', 'complex', 'assembles', 'leptotene', 'first', 'stage', 'process']",Meiosis
197126,"['21', 'tiebreaker']",X-ray
197128,"['one', 'golden', u'rule', 'operational', u'amplifier', u'state', 'quantity', u'input', 'opamp']",Electric current
197133,"['2005', u'observation', u'object', 'outer', 'disk', 'indicated', 'may', 'almost', 'twice', 'large', 'previously', 'thought']",Andromeda Galaxy
103854,"['one', u'ha', 'conserved', 'gag', 'analogous', 'copia', 'drosophila']",Transposable element
197145,"['one', u'reaction', u'produce', 'substituted', '14cyclohexadienes', 'named', 'birch']",Reduction (chemistry)
197148,"[u'feature', 'may', 'create', 'brecciafilled', 'diatremes', 'form', u'maar', 'reach', 'surface']",Volcano
197157,"['low', u'temperature', 'debyes', 'model', u'account', 'phonon', 'contribution', 'quantity']",Heat capacity
197166,"['star', 'detector', 'bnl', 'discovered', u'particle', 'antiparticle', '2011']",Alpha particle
197176,"['founderflush', u'model', 'phenomenon', 'propose', 'may', 'result', 'repeated', u'bottleneck']",Speciation
197182,"[u'quotient', u'number', 'continued', 'fraction', 'representation', 'one', u'ptolemy', 'theorem', u'show', 'value', 'ratio', 'regular', u'pentagon', 'diagonal', 'side', 'length']",Golden ratio
197184,"[u'euler', u'law', 'motion', 'reformulate', u'newton', u'law', 'respect', 'quantity']",Center of mass
197188,"['21', 'tiebreaker']",Matrix (mathematics)
197197,"['man', 'discovered', 'method', 'minimizing', 'chromatic', 'aberration', u'telescope', 'solved', 'brachistochrone', 'problem', 'curve', 'cycloid']",Isaac Newton
197200,"['man', u'name', 'type', 'ordered', 'field', 'nonnegative', u'element', u'square']",Euclid
197207,"['silex', 'method', u'sort', u'sample', 'element', 'acetate', 'oxycation', 'element', 'used', 'negative', 'stain', 'electron', 'microscopy']",Uranium
197209,"['21', 'tiebreaker']",Ideal gas law
197211,"['airseeding', u'cause', 'cavitation', 'tissue', 'fixed', 'importing', u'solute', 'ray', u'cell']",Xylem
197221,"['one', u'device', 'paired', 'voltage', 'source', 'simplify', 'circuit', 'thevenins', 'theorem']",Resistor
197227,"['snc', u'meteorite', 'along', 'recently', 'found', 'tissint', 'meteorite', 'originated', 'body']",Mars
197231,"['study', 'patient', 'hm', 'led', 'dissociation', 'phenomenon', 'procedural', 'declarative', u'type', 'latter', 'divided', 'semantic', 'episodic', u'component']",Memory
197233,"['quantity', 'numerator', 'exponential', 'term', u'black', 'equation', 'value', 'determined', 'finding', 'slope', 'graph', 'plotting', 'log', 'rate', 'constant', 'reciprocal', 'temperature']",Activation energy
197237,"['many', u'organism', 'contain', u'organ', 'bojanus', u'type', 'produce', 'free', 'swimming', 'larva', 'called', 'veliger']",Mollusca
197244,"[u'star', 'white', 'dwarf', 'companion', u'wa', 'postulated', 'fredrich', 'bessel', 'discovered', 'alvan', 'clark']",Sirius
197248,"['navier', 'man', 'stokes', 'name', 'diffusion', 'equation', u'model', 'flow', 'spherical', u'particle', u'liquid', 'low', 'reynolds', u'number']",Albert Einstein
197255,"['riemann', 'sphere', 'formed', 'adding', 'point', 'complex', 'plane']",Infinity
197257,"['sackurtetrode', 'equation', 'describes', 'quantity', 'monatomic', 'ideal', 'gas']",Entropy
197264,"['one', 'variety', 'system', 'discrete', u'state', 'named', 'doubochinski']",Pendulum
197266,"['toy', 'toe', 'two', 'orthologs', 'pax6', 'gene', 'drosophila', 'named', 'influence', 'development', u'structure']",Eye
197274,"['value', 'quantity', 'molecule', u'ha', 'charge', 'called', 'isoelectric', 'point', 'increase', 'quantity', 'allows', 'hemoglobin', 'carry', 'oxygen', 'bohr', 'effect']",PH
207644,"['trochophore', 'ciliated', 'larval', 'stage', 'life', 'cycle', 'many', 'marine', u'organism', 'phylum']",Mollusca
197291,"['kruskalszekeres', u'coordinate', 'used', 'describe', 'one', 'type', u'entity', 'penrose', 'process', 'could', 'hypothetically', 'extract', 'energy']",Black hole
197313,"['porath', 'flodin', 'introduced', 'dextranbased', u'gel', 'sizeexclusion', 'variety', 'process', u'process', 'optimal', 'velocity', 'found', 'van', 'deemter', 'equation']",Chromatography
197316,"['abscisic', 'acid', u'trigger', 'influx', 'element', 'stomatal', 'guard', u'cell', u'element', 'oxalate', 'carbonate', 'form', 'raphides', u'plant']",Calcium
197324,"['compound', u'convert', 'oleic', 'acid', 'azelaic', 'acid', u'attack', 'double', u'bond', u'polymer', u'lead', 'namesake', 'cracking', u'material', 'like', 'rubber']",Ozone
197327,"['pratt', 'airy', u'model', 'describe', 'gravitational', 'equilibrium', u'object', 'called', 'isostasy', 'vacquier', 'noticed', 'magnetic', 'striping']",Plate tectonics
197337,"[u'torricelli', 'equation', 'special', 'case', 'principle', 'derived', 'integrating', u'euler', u'equation', 'certain', u'assumption', 'apply', u'system', 'low', 'mach', u'number']",Bernoulli's principle
197347,"['norman', 'jensen', 'created', u'triangle', 'plot', 'chemical', u'specie', 'according', 'quantity']",Electronegativity
197352,"['hadamard', 'regularized', 'operation', 'certain', u'condition', 'dropping', 'divergent', u'term']",Integral
197358,"['type', 'process', u'collision', 'much', 'likely', 'typical', 'named', 'knudsen', 'multicomponent', u'system', 'use', 'maxwellstefan', 'model']",Diffusion
197368,"['type', 'stone', 'used', 'lithography', 'print', 'image', 'onto', 'multiple', u'sheet', 'paper']",Limestone
197374,"['presence', 'zinc', u'ion', 'molecule', u'form', 'hexamers']",Insulin
197376,"['phenomenon', 'occur', 'room', u'temperature', 'catalyzed', u'muon', 'lawson', 'criterion', 'defines', u'condition', 'phenomenon', u'start']",Nuclear fusion
197391,"['scientist', 'devised', 'five', u'rule', 'determining', 'structure', 'complex', 'ionic', u'crystal', 'incorrectly', 'proposed', 'triple', 'helix', 'structure', 'dna']",Linus Pauling
197397,"['secular', 'conformation', 'form', 'condition', 'decay', 'rate', 'radioactive', 'element', 'equal', 'production', 'rate', 'daughter', 'nucleus']",List of types of equilibrium
197402,"[u'horst', 'form', 'grabens', 'geographic', u'feature']",Fault (geology)
197409,"['curl', 'physical', 'quantity', 'given', 'vorticity', 'terminal', 'value', 'quantity', 'achieved', 'accelerating', 'force', 'object', 'equal', 'drag', 'force']",Velocity
197418,"['molecule', u'function', 'substrate', 'adenylate', 'cyclase', u'enzyme', 'molecule', 'made', 'purine', 'base', 'attached', 'pentose', 'sugar']",Adenosine triphosphate
197421,"['activist', 'published', 'pamphlet', 'urging', 'stronger', 'defense', 'system', 'called', 'plain', 'truth', 'included', 'cartoon', 'cut', 'snake', 'captioned', 'join', 'die', 'man', 'proposed', 'albany', 'plan']",Benjamin Franklin
197425,"[u'object', 'generated', 'hutchinson', u'operator', 'iterated', 'function', u'system']",Fractal
197429,"['relative', 'expression', 'ci', 'cone', 'cro', 'crow', 'determines', 'whether', u'structure', 'enter', 'lytic', 'lysogenic', u'cycle']",Virus
197432,"['degree', 'phenomenon', 'polarizes', 'light', 'called', 'brewsters', 'angle', u'fresnel', u'equation', 'huygens', 'principle', 'govern', 'process']",Refraction
120287,"['roberval', 'found', 'area', 'curve', 'equal', 'three', 'pi', u'time', 'height', 'squared', 'wren', 'solved', u'pascal', 'challenge', 'determine', 'arc', 'length', 'eight', u'time', 'height']",Cycloid
197437,"['benioff', u'zone', 'counterbalance', 'process', 'dietz', 'described', 'independently', 'hess']",Seafloor spreading
197453,"['deviation', 'equation', u'lead', 'compressibility', 'factor', 'calculated', 'dividing', 'left', 'side', 'equation', 'right', 'side']",Ideal gas law
197460,"[u'particle', 'produced', 'annihilation', 'electronpositron', u'pair', 'low', u'energy', 'particle', u'transfer', 'energy', u'electron', 'elastic', 'collision', 'effect', 'named', 'compton']",Photon
197470,"['reactance', 'inductor', 'equal', 'quantity', u'time', 'inductance', 'resonance', 'occurs', 'natural', 'type', 'quantity']",Frequency
197476,"['alternating', u'band', 'dark', 'light', u'structure', 'formed', 'cyclic', u'change', u'temperature', 'called', u'ogive', 'steep', u'side', u'drumlin', 'indicate', 'direction', u'structure', 'advanced']",Glacier
197502,"['phenomenon', 'hypothesized', 'mediated', 'massless', 'particle', 'spintwo', 'einstein', 'field', u'equation', 'describe', 'phenomenon']",Gravity
197510,"[u'organism', 'collect', u'gamete', 'scopa', 'use', 'propolis', 'building', 'material']",Bee
197528,"['pressure', 'air', 'substance', 'question', 'reduced', 'vacuum', 'form', 'process', 'azeotropes', u'solution', 'deviate', 'raoults', 'law', 'impervious', 'simple', 'form', 'process']",Distillation
197540,"[u'object', 'associated', 'wall', u'cloud', 'supercell', u'thunderstorm']",Tornado
197545,"['concept', 'explains', 'torque', 'dipole', 'would', 'cause', 'rotate', 'center']",Electric field
197549,"['10', 'name', 'constellation', 'also', 'known', 'hunter', 'contains', 'famous', 'belt', 'composed', 'three', u'star']",Orion (constellation)
197553,"['general', 'form', 'statement', 'written', 'standard', 'deviation', u'time', 'standard', 'deviation', 'b', 'greater', 'equal', 'negative', 'two', u'time', 'commutator', 'b', 'thought', 'experiment', 'observing', 'electron', 'gammaray', 'microscope', 'justifies', 'statement', 'measure', 'lifetime', 'virtual', 'particle']",Uncertainty principle
197555,"['right', 'front', 'quadrant', 'strongest', 'part', u'phenomenon', 'gain', 'strength', 'easterly', u'wave']",Tropical cyclone
197557,"['disease', 'treated', 'drug', 'tacrine', u'block', u'function', 'cholinesterase', 'kolinesterase']",Alzheimer's disease
197564,"['derivative', 'quantity', 'respect', 'temperature', 'negative', 'entropy']",Gibbs free energy
197577,"[u'compound', 'described', 'using', 'ez', 'e', 'dash', 'z', 'notation', 'occur', 'across', u'alkene', 'generalized', 'version', 'notation', 'cistrans', 'notation']",Isomer
197586,"['conservation', 'quantity', 'consequence', 'translational', 'invariance', 'lagrangian', 'quantity', 'canonically', 'conjugate', 'position']",Momentum
197589,"[u'example', u'cell', 'include', 'purkinje', u'cell', 'certain', u'part', u'cell', 'often', 'surrounded', 'schwann', u'cell', u'type', 'glial', u'cell']",Neuron
197598,"['one', 'form', 'property', 'calculated', 'raising', 'product', 'value', 'sample', '1n', 'one', 'n', 'property', 'also', u'come', 'harmonic', 'variety']",Mean
197600,"['upward', 'sliding', u'avalanche', 'occur', 'region']",Inner core
197603,"['boiling', 'water', u'reactor', 'heated', 'energy', 'released', 'process', u'product', 'breeder', u'reactor', 'capable', 'undergoing', 'process']",Nuclear fission
197608,"['substance', 'inhibits', 'conversion', u'triglyceride', 'fatty', u'acid', 'adipose', 'tissue', 'commercial', u'form', 'substance', 'include', 'actrapid', 'act', 'rapid']",Insulin
207698,"['quantity', u'scale', 'square', 'employment', 'according', 'okuns', 'law', 'predicts', 'namesake', 'gap', 'quantity']",Gross domestic product
197623,"['mathematician', 'proved', 'riemann', 'zeta', 'function', 'may', 'written', 'infinite', 'product', u'prime']",Leonhard Euler
197624,"['diane', 'dodd', 'studied', 'process', 'feeding', 'one', 'population', 'fruit', u'fly', 'starch', 'others', 'maltose']",Speciation
197630,"['functional', u'group', 'featuring', 'element', 'found', 'either', 'side', 'carbonyl', 'group', 'urea', u'molecule', u'plant', 'unable', 'use', 'element', 'unless', u'ha', 'acted', 'upon', 'lightning', 'mycchorhizae', 'mycorizzay']",Nitrogen
197633,"['chandrashekar', 'limit', u'give', 'upper', 'bound', 'quantity', 'white', 'dwarf', u'star', 'product', 'rotational', 'analogue', 'quantity', 'angular', 'acceleration', u'yield', 'torque']",Mass
197638,"['term', 'regolith', 'refer', 'although', 'mostly', 'applies', 'found', 'moon']",Soil
197654,"[u'particle', 'used', 'davissongermer', 'experiment', 'prove', 'de', 'broglie', 'duh', 'broi', 'hypothesis', 'namesake', 'capture', 'decay', 'process', 'lighter', u'isotope', 'transition', u'metal', 'silver', '105']",Electron
197661,"['proof', 'took', 'finite', 'list', u'number', 'multiplied', 'together', 'added', 'one']",Euclid
197665,"['boussinesq', 'approximation', 'used', 'model', 'natural', 'type', 'process', 'fluid', 'motion', 'generated', 'density', u'difference', 'due', 'temperature', u'gradient']",Convection
207707,"['consequence', 'lagranges', 'theorem', 'size', 'number', 'proper', u'subgroup', 'group', 'prime', 'order']",1 (number)
197679,"['faraday', 'rotation', u'study', 'interaction', 'light', 'medium', 'induces', 'quantized', 'resistivity', 'quantum', 'hall', 'effect']",Magnetic field
197684,"[u'object', 'thermodynamic', u'process', 'inspired', 'holographic', 'principle', 'ergosphere', u'surround', 'rotating', 'one', u'object']",Black hole
197698,"['phylum', 'includes', u'organism', 'called', u'limpet', u'nudibranch']",Mollusca
197699,"['quantity', 'ideal', 'gas', 'calculated', 'sackurtetrode', 'equation', 'another', 'equation', u'us', 'quantity', 'temperature', 'enthalpy', 'calculate', 'gibbs', 'free', 'energy']",Entropy
197701,"[u'organelle', 'lamina', u'help', 'support', 'shape']",Cell nucleus
197704,"[u'substance', 'lacking', 'property', 'create', 'rollin', u'film']",Viscosity
197715,"['aside', 'bare', 'area', 'organ', 'covered', 'entirely', 'visceral', 'peritoneum']",Liver
197720,"['quantity', 'represented', 'capital', 'formula', 'hamiltonian', 'average', 'per', 'molecule', 'ideal', 'gas', '32', u'time', 'kt']",Kinetic energy
103953,"['idea', 'first', 'occurred', 'formulators', 'reading', 'louis', 'dunoyers', 'work', 'sodium']",Stern-Gerlach experiment
197738,"['relativistic', 'fourvector', 'version', 'physical', 'quantity', 'proposed', 'lorentzian', 'translation', u'euler', 'first', 'law', 'relates', 'quantity', 'velocity', 'frame', 'reference']",Momentum
197747,"['namesake', 'counting', 'function', 'pi', 'n', 'approximately', 'given', 'n', 'natural', 'logarithm', 'n', '1024', 'bit', u'version', 'used', 'diffiehellman', 'key', 'exchange', 'distribution', 'linked', u'zero', 'riemann', 'zeta', 'function']",Prime number
197749,"['man', 'proved', 'odd', 'prime', 'expressed', 'distinctively', 'difference', 'two', u'square', 'principle', 'least', 'time', u'wa', 'used', 'derive', 'snells', 'law']",Pierre de Fermat
120341,"['part', 'structure', 'herniated', 'type', 'chari', 'malformation', 'one', 'population', u'cell', 'active', 'inhibited', 'golgi', u'cell']",Cerebellum
197764,"['secondary', 'type', 'tissue', 'produced', 'adaxial', 'side', 'vascular', 'cambium', 'whereas', 'primary', 'type', 'tissue', 'located', 'closest', 'pith']",Xylem
197766,"['zeisel', 'test', 'used', 'detect', 'compound', 'thf', 'polar', 'example', 'one']",Ether
197774,"[u'result', 'experiment', 'supported', 'absence', 'realignment', 'parallelplate', 'capacitor', 'used', 'troutonnoble', 'experiment']",Michelson-Morley experiment
197786,"['next', 'nasa', 'probe', 'visit', 'body', 'launch', 'november', '2011', 'named', 'curiosity']",Mars
197790,"[u'cord', 'billroth', 'near', 'sinusoid', u'vessel', 'also', 'contains', 'linear', 'hilum']",Spleen
197793,"['bruce', 'cork', 'discovered', 'antiparticle', 'partner', 'particle', '1956', '24', u'year', 'james', 'chadwick', 'discovered', 'particle', '1932']",Neutron
197801,"['theorem', 'implies', 'field', 'complex', u'number', 'algebraic', 'closure', 'field', 'real', u'number']",Fundamental theorem of algebra
197809,"['alfven', u'wave', 'occur', u'substance', 'langmuir', 'probe', 'used', 'measure']",Plasma (physics)
197818,"['coelom', 'seelem', u'form', 'haemal', u'system', u'member', 'phylum', 'second', 'largest', 'phylum', 'deuterosomes']",Echinoderm
207733,"['pulse', 'chase', 'used', 'show', u'cell', 'lay', 'bottom', u'crypt', 'intestinal', u'villus']",Stem cell
197836,"['man', 'discovered', 'rainfall', 'occurred', 'due', u'reduction', 'temperature', 'also', 'determined', 'composition', 'ether', 'finding', 'correct', 'formula']",John Dalton
197845,"['mathematical', 'framework', 'theory', u'wa', 'laid', 'henri', 'poincare', 'proved', 'lorentz', u'transformation', 'subset', 'namesake', 'group', 'preserving', u'symmetry', 'flat', 'spacetime', 'fourdimensional', 'minkowski', 'space', 'curved', 'gravitational', u'force']",Special relativity
197854,"[u'man', 'ice', 'pail', 'experiment', 'demonstrated', 'charge', 'electrically', 'conducting', 'body', u'rest', 'entirely', 'surface']",Michael Faraday
197860,"['one', 'variety', 'technique', 'utilizes', 'shortpath', 'apparatus', 'called', 'kugelrohr', 'koogehlroar']",Distillation
197872,"['element', u'wa', 'first', 'observed', 'jules', 'janssen', 'solar', 'eclipse', '1868']",Helium
197880,"['one', 'constant', 'associated', 'skin', 'form', 'phenomenon', 'calculated', 'using', 'local', 'wall', 'shear', 'stress', 'fluid', 'density', 'freestream', 'velocity', 'stickslip', 'model', 'phenomenon', 'velocitydependent']",Friction
197883,"['irregularly', 'shaped', u'compartment', 'organelle', 'change', 'response', 'cellular', 'metabolic', 'activity', 'called', 'paraspeckles', 'promyelocytic', 'leukemia', u'body', 'often', 'found', 'organelle']",Cell nucleus
197889,"['man', 'noted', 'platonic', u'solid', 'could', 'uniquely', 'inscribed', 'sphere', 'nested', 'model', 'solar', 'system']",Johannes Kepler
197895,"['swi5', 'tramtrack', u'variant', 'structural', 'domain', 'named', 'element', 'amalgam', 'element', 'hydrochloric', 'acid', 'used', 'reduce', u'ketone', 'clemmensen', 'reduction']",Zinc
197899,"['two', 'identical', u'particle', 'quantitysquared', u'equal', 'four', 'pi', u'time', 'permittivity', 'free', 'space', u'time', 'distance', u'particle', 'squared', u'time', 'force']",Electric charge
197903,"['councilman', u'body', u'cell', 'organ', 'undergo', 'apoptosis', 'organ', 'surrounded', 'glissons', 'capsule']",Liver
197910,"['intensity', u'phenomenon', 'calculated', 'adding', 'one', 'half', 'log', 'base', 'two', 'h', 'sub', 'v', 'ranked', 'scale', 'named', 'soloviev', 'imamura']",Tsunami
197915,"['color', 'indicates', 'reactivity', 'chemical', 'nfpa', '704', 'label', '1', 'efficiency', u'dp', u'laser', 'color', 'expensive', 'per', 'unit', 'power']",Yellow
197918,"['mobius', 'function', u'take', 'value', 'squarefree', u'input', 'even', 'number', 'prime', u'factor']",1 (number)
197920,"['time', 'constant', 'equal', 'inductance', 'divided', 'value', 'one', 'formula', 'quantity', u'give', 'rho', 'row', u'time', 'length', 'divided', 'crosssectional', 'area']",Electrical resistance
197929,"[u'eurypterid', 'early', 'aquatic', u'member', 'phylum', 'lived', 'ordovician', 'silurian', u'period']",Arthropod
197930,"['john', 'lennon', 'sings', u'lyric', 'sgt']",Sleep
197939,"['sphere', 'nonintersecting', 'graph', 'cannot', 'drawn', 'one', u'object', u'ha', 'subgraphs', 'homeomorphic', 'either', 'ksub', '3', 'comma', '3', 'ksub', '5', 'result', 'known', 'kuratowskis', 'theorem']",Plane (geometry)
197941,"['wire', 'suspended', 'magnetic', 'field', 'magnitude', 'quantity', 'equal', 'magnitude', 'current', u'time', 'length', u'time', 'field', 'strength', 'charge', 'electric', 'field', 'quantity', 'product', 'charge', 'field', 'strength']",Force
197943,"['element', 'bonded', 'sodium', 'aluminum', 'cryolite', 'found', 'naturally', u'mineral', 'topaz', 'apatite']",Fluorine
197954,"['obicular', 'type', 'rock', u'ha', 'concentrically', 'layered', 'spheroidal', u'structure', 'mostly', 'found', 'finland']",Granite
197958,"['man', 'found', 'tetratomic', 'oxygen', 'formed', u'solution', 'oxygen', 'liquid', 'nitrogen', 'collaborated', 'merle', 'randall', 'work', 'titled', 'thermodynamics', 'free', 'energy', 'chemical', u'substance', 'photochemical', u'experiment', 'led', 'coin', 'term', u'photon', u'wa', 'first', 'person', 'produce', 'pure', 'sample', 'deuterium', 'oxide']",Gilbert N. Lewis
197964,"['moessbauer', u'spectrum', 'tin', u'salt', u'ha', 'shown', 'strong', 'correlation', 'property', 'property', 'explain', 'inductive', 'effect', 'observed', 'sigma', u'bond']",Electronegativity
197967,"['complete', 'graph', 'many', u'vertex', 'smallest', 'cannot', 'drawn', 'without', 'edge', u'crossing', 'cosine', 'pi', 'divided', 'number', 'equal', 'onehalf', 'golden', 'ratio']",5 (number)
197973,"['tarn', 'one', u'feature', u'form', 'cirque', 'paternoster', u'one', 'linked', 'succession']",Lake
197975,"['quantity', 'relatively', 'inelastic', 'kink', 'curve', 'depicting', 'oligopoly', 'markovian', 'type', 'often', 'used', 'model', 'inventory', 'control']",Demand
197980,"['along', 'italian', 'man', u'name', 'constant', 'value', 'equal', 'difference', 'harmonic', 'series', 'natural', 'logarithm', 'value', '0577', 'named', 'lorenzo', 'mascheroni']",Leonhard Euler
