answer,question
Hall effect,"The Hall effect is the production of a voltage difference (the Hall voltage) across an electrical conductor, transverse to an electric current in the conductor and a magnetic field perpendicular to the current. It was discovered by Edwin Hall in 1879."
Elephant,"Elephants are large mammals of the family Elephantidae and the order Proboscidea. Two species are traditionally recognised, the African elephant (Loxodonta africana) and the Asian elephant (Elephas maximus), although some evidence suggests that African bush elephants and African forest elephants are separate species (L. africana and L. cyclotis respectively). Elephants are scattered throughout sub-Saharan Africa, South Asia, and Southeast Asia. Elephantidae is the only surviving family of the order Proboscidea; other, now extinct, members of the order include deinotheres, gomphotheres, mammoths, and mastodons. Male African elephants are the largest extant terrestrial animals and can reach a height of 4 m (13 ft) and weigh 7,000 kg (15,000 lb). All elephants have several distinctive features the most notable of which is a long trunk or proboscis, used for many purposes, particularly breathing, lifting water and grasping objects. Their incisors grow into tusks, which can serve as weapons and as tools for moving objects and digging. Elephants' large ear flaps help to control their body temperature. Their pillar-like legs can carry their great weight. African elephants have larger ears and concave backs while Asian elephants have smaller ears and convex or level backs."
George Orwell,"Eric Arthur Blair (25 June 1903 – 21 January 1950), who used the pen name George Orwell, was an English novelist, essayist, journalist and critic. His work is marked by lucid prose, awareness of social injustice, opposition to totalitarianism, and outspoken support of democratic socialism."
Edward Jenner,"Edward Jenner, FRS (/ˈdʒɛnər/; 17 May 1749 – 26 January 1823) was an English physician and scientist who was the pioneer of smallpox vaccine, the world's first vaccine. He is often called ""the father of immunology"", and his work is said to have ""saved more lives than the work of any other human""."
Nephron,"The nephron (from Greek νεφρός - nephros, meaning ""kidney"") is the basic structural and functional unit of the kidney. Its chief function is to regulate the concentration of water and soluble substances like sodium salts by filtering the blood, reabsorbing what is needed and excreting the rest as urine. A nephron eliminates wastes from the body, regulates blood volume and blood pressure, controls levels of electrolytes and metabolites, and regulates blood pH. Its functions are vital to life and are regulated by the endocrine system by hormones such as antidiuretic hormone, aldosterone, and parathyroid hormone. In humans, a normal kidney contains 800,000 to 1.5 million nephrons."
Ernst Mach,"Ernst Waldfried Josef Wenzel Mach (/ˈmɑːx/; German: [ˈɛɐ̯nst maχ]; February 18, 1838 – February 19, 1916) was a Czech-Austrian physicist and philosopher, noted for his contributions to physics such as the Mach number and the study of shock waves. As a philosopher of science, he was a major influence on logical positivism, American pragmatism and through his criticism of Newton, a forerunner of Einstein's relativity."
William Golding,"Sir William Gerald Golding CBE (19 September 1911 – 19 June 1993) was an English novelist, playwright, and poet. Best known for his novel Lord of the Flies, he won a Nobel Prize in Literature, and was also awarded the Booker Prize for literature in 1980 for his novel Rites of Passage, the first book in what became his sea trilogy, To the Ends of the Earth."
Aseismic creep,"In geology, aseismic creep is measurable surface displacement along a fault in the absence of notable earthquakes."
Accretion disc,An accretion disk is a structure (often a circumstellar disk) formed by diffused material in orbital motion around a massive central body. The central body is typically a star. Gravity causes material in the disk to spiral inward towards the central body. Gravitational and frictional forces compress and raise the temperature of the material causing the emission of electromagnetic radiation. The frequency range of that radiation depends on the central object's mass. Accretion disks of young stars and protostars radiate in the infrared; those around neutron stars and black holes in the X-ray part of the spectrum. The study of oscillation modes in accretion disks is referred to as diskoseismology.
Promoter (genetics),"In genetics, a promoter is a region of DNA that initiates transcription of a particular gene. Promoters are located near the transcription start sites of genes, on the same strand and upstream on the DNA (towards the 5' region of the sense strand). Promoters can be about 100–1000 base pairs long."
Solar wind,"The solar wind is a stream of charged particles released from the upper atmosphere of the Sun. This plasma consists of mostly electrons, protons and alpha particles with energies usually between 1.5 and 10 keV; embedded in the solar-wind plasma is the interplanetary magnetic field. The solar wind varies in density, temperature and speed over time and over solar longitude. Its particles can escape the Sun's gravity because of their high energy, from the high temperature of the corona and magnetic, electrical and electromagnetic phenomena in it."
Yeast,"Yeasts are eukaryotic microorganisms classified as members of the fungus kingdom with 1,500 species currently identified and are estimated to constitute 1% of all described fungal species. Yeasts are unicellular, although some species may also develop multicellular characteristics by forming strings of connected budding cells known as pseudohyphae or false hyphae. Yeast sizes vary greatly, depending on species and environment, typically measuring 3–4 µm in diameter, although some yeasts can grow to 40 µm in size. Most yeasts reproduce asexually by mitosis, and many do so by the asymmetric division process known as budding."
Zinc finger,"A zinc finger is a small protein structural motif that is characterized by the coordination of one or more zinc ions in order to stabilize the fold. Originally coined to describe the finger-like appearance of a hypothesized structure from Xenopus laevis transcription factor IIIA, the zinc finger name has now come to encompass a wide variety of differing protein structures. Xenopus laevis TFIIIA was originally demonstrated to contain zinc and require the metal for function in 1983, the first such reported zinc requirement for a gene regulatory protein."
5 (number),"5 (five /ˈfaɪv/) is a number, numeral, and glyph. It is the natural number following 4 and preceding 6."
Balmer series,"The Balmer series or Balmer lines in atomic physics, is the designation of one of a set of six named series describing the spectral line emissions of the hydrogen atom. The Balmer series is calculated using the Balmer formula, an empirical equation discovered by Johann Balmer in 1885."
X chromosome,"The X chromosome is one of the two sex-determining chromosomes (allosomes) in many animal species, including mammals (the other is the Y chromosome), and is found in both males and females. It is a part of the XY sex-determination system and X0 sex-determination system. The X chromosome was named for its unique properties by early researchers, which resulted in the naming of its counterpart Y chromosome, for the next letter in the alphabet, after it was discovered later."
Glass,"Glass is a non-crystalline solid that is often transparent and has widespread practical, technological, and decorative usage in things like window panes, tableware, and optoelectronics. Scientifically, the term ""glass"" is often defined in a broader sense, encompassing every solid that possesses a non-crystalline (that is, amorphous) structure at the atomic scale and that exhibits a glass transition when heated towards the liquid state."
Larynx,"The larynx /ˈlærɪŋks/ (plural larynges; from the Greek λάρυγξ lárynx), commonly called the voice box, is an organ in the neck of amphibians, reptiles, and mammals involved in breathing, sound production, and protecting the trachea against food aspiration. It manipulates pitch and volume. The larynx houses the vocal folds (vocal cords), which are essential for phonation. The vocal folds are situated just below where the tract of the pharynx splits into the trachea and the oesophagus."
Cyclopropane,"Cyclopropane is a cycloalkane molecule with the molecular formula C3H6, consisting of three carbon atoms linked to each other to form a ring, with each carbon atom bearing two hydrogen atoms resulting in D3h molecular symmetry. Cyclopropane and propene have the same molecular formula but have different structures, making them structural isomers."
Subrahmanyan Chandrasekhar,"Subrahmanyan Chandrasekhar, FRS (/ˌtʃʌndrəˈʃeɪkər/; October 19, 1910 – August 21, 1995), was an Indian American astrophysicist born in Lahore, Punjab. Chandrasekhar was awarded, along with William A. Fowler, the 1983 Nobel Prize for Physics, with Chandrasekhar cited for his mathematical theory of the physical processes of importance to the structure and evolution of the stars. This work led to the currently accepted theory on the later evolutionary stages of massive stars, including black holes. The Chandrasekhar limit is named after him."
Queue (abstract data type),"In computer science, a queue (/ˈkjuː/ KEW) is a particular kind of abstract data type or collection in which the entities in the collection are kept in order and the principal (or only) operations on the collection are the addition of entities to the rear terminal position, known as enqueue, and removal of entities from the front terminal position, known as dequeue. This makes the queue a First-In-First-Out (FIFO) data structure. In a FIFO data structure, the first element added to the queue will be the first one to be removed. This is equivalent to the requirement that once a new element is added, all elements that were added before have to be removed before the new element can be removed. Often a peek or front operation is also entered, returning the value of the front element without dequeuing it. A queue is an example of a linear data structure, or more abstractly a sequential collection."
String (computer science),"In computer programming, a string is traditionally a sequence of characters, either as a literal constant or as some kind of variable. The latter may allow its elements to be mutated and the length changed, or it may be fixed (after creation). A string is generally understood as a data type and is often implemented as an array of bytes (or words) that stores a sequence of elements, typically characters, using some character encoding. A string may also denote more general arrays or other sequence (or list) data types and structures."
Butane,"Butane (/ˈbjuːteɪn/) is an organic compound with the formula C4H10 that is an alkane with four carbon atoms. Butane is a gas at room temperature and atmospheric pressure. The term may refer to either of two structural isomers, n-butane or isobutane (or ""methylpropane""), or to a mixture of these isomers. In the IUPAC nomenclature, however, ""butane"" refers only to the n-butane isomer (which is the isomer with the unbranched structure). Butanes are highly flammable, colorless, easily liquefied gases. The name butane comes from the roots but- (from butyric acid) and -ane."
Protein folding,"Protein folding is the process by which a protein structure assumes its functional shape or conformation. It is the physical process by which a polypeptide folds into its characteristic and functional three-dimensional structure from random coil. Each protein exists as an unfolded polypeptide or random coil when translated from a sequence of mRNA to a linear chain of amino acids. This polypeptide lacks any stable (long-lasting) three-dimensional structure (the left hand side of the first figure). Amino acids interact with each other to produce a well-defined three-dimensional structure, the folded protein (the right hand side of the figure), known as the native state. The resulting three-dimensional structure is determined by the amino acid sequence (Anfinsen's dogma). Experiments  beginning in the 1980s indicate the codon for an amino acid can also influence protein structure."
Central limit theorem,"In probability theory, the central limit theorem (CLT) states that, given certain conditions, the arithmetic mean of a sufficiently large number of iterates of independent random variables, each with a well-defined expected value and well-defined variance, will be approximately normally distributed, regardless of the underlying distribution. To illustrate what this means, suppose that a sample is obtained containing a large number of observations, each observation being randomly generated in a way that does not depend on the values of the other observations, and that the arithmetic average of the observed values is computed. If this procedure is performed many times, the central limit theorem says that the computed values of the average will be distributed according to the normal distribution (commonly known as a ""bell curve""). A simple example of this is that if one flips a coin many times, the probability of getting a given number of heads should follow a normal curve, with mean equal to half the total number of flips."
Linus Pauling,"Linus Carl Pauling (February 28, 1901 – August 19, 1994) was an American chemist, biochemist, peace activist, author, and educator. He published more than 1200 papers and books, of which about 850 dealt with scientific topics. New Scientist reportedly called him one of the 20 greatest scientists of all time, and as of 2000, he was rated the 16th most important scientist in history. Pauling was one of the founders of the fields of quantum chemistry and molecular biology."
Phosphorus,"Phosphorus is a chemical element with symbol P and atomic number 15. As an element, phosphorus exists in two major forms—white phosphorus and red phosphorus—but due to its high reactivity, phosphorus is never found as a free element on Earth. Instead phosphorus-containing minerals are almost always present in their maximally oxidised state, as inorganic phosphate rocks."
Nuclear fusion,"In nuclear physics, nuclear fusion is a nuclear reaction in which two or more atomic nuclei come very close and then collide at a very high speed and join to form a new nucleus. During this process, matter is not conserved because some of the matter of the fusing nuclei is converted to photons (energy). Fusion is the process that powers active or ""main sequence"" stars."
Benzene,"Benzene is an important organic chemical compound with the chemical formula C6H6. Its molecule is composed of 6 carbon atoms joined in a ring, with 1 hydrogen atom attached to each carbon atom. Because its molecules contain only carbon and hydrogen atoms, benzene is classed as a hydrocarbon."
Jones oxidation,"The Jones oxidation is an organic reaction for the oxidation of primary and secondary alcohols to carboxylic acids and ketones, respectively. It is named after its discoverer, Sir Ewart Jones."
Iceberg,"An iceberg is a large piece of freshwater ice that has broken off a glacier or an ice shelf and is floating freely in open water. It may subsequently become frozen into pack ice (one form of sea ice). As it drifts into shallower waters, it may come into contact with the seabed, a process referred to as seabed gouging by ice."
Paul Dirac,"Paul Adrien Maurice Dirac OM FRS (/dɪˈræk/ di-RAK; 8 August 1902 – 20 October 1984) was an English theoretical physicist who made fundamental contributions to the early development of both quantum mechanics and quantum electrodynamics. He was the Lucasian Professor of Mathematics at the University of Cambridge, a member of the Center for Theoretical Studies, University of Miami, and spent the last decade of his life at Florida State University."
Carmichael number,"In number theory, a Carmichael number is a composite number  which satisfies the modular arithmetic congruence relation:"
Max Born,"Max Born (German: [bɔɐ̯n]; 11 December 1882 – 5 January 1970) was a German physicist and mathematician who was instrumental in the development of quantum mechanics. He also made contributions to solid-state physics and optics and supervised the work of a number of notable physicists in the 1920s and 30s. Born won the 1954 Nobel Prize in Physics for his ""fundamental research in Quantum Mechanics, especially in the statistical interpretation of the wave function""."
Johann Wolfgang von Goethe,"Johann Wolfgang (von) Goethe (/ˈɡətə/; German: [ˈjoːhan ˈvɔlfɡaŋ ˈɡøːtə]; 28 August 1749 – 22 March 1832) was a German writer and statesman. His body of work includes epic and lyric poetry written in a variety of metres and styles; prose and verse dramas; memoirs; an autobiography; literary and aesthetic criticism; treatises on botany, anatomy, and colour; and four novels. In addition, numerous literary and scientific fragments, more than 10,000 letters, and nearly 3,000 drawings by him are extant. A literary celebrity by the age of 25, Goethe was ennobled by the Duke of Saxe-Weimar, Karl August in 1782 after first taking up residence there in November 1775 following the success of his first novel, The Sorrows of Young Werther. He was an early participant in the Sturm und Drang literary movement. During his first ten years in Weimar, Goethe served as a member of the Duke's privy council, sat on the war and highway commissions, oversaw the reopening of silver mines in nearby Ilmenau, and implemented a series of administrative reforms at the University of Jena. He also contributed to the planning of Weimar's botanical park and the rebuilding of its Ducal Palace, which in 1998 were together designated a UNESCO World Heritage Site."
Caffeine,"Caffeine is a central nervous system (CNS) stimulant of the methylxanthine class. It is the world's most widely consumed psychoactive drug, but — unlike many other psychoactive substances — it is legal and unregulated in nearly all parts of the world. There are several known mechanisms of action to explain the effects of caffeine. The most prominent is that it reversibly blocks the action of adenosine on its receptor and consequently prevents the onset of drowsiness induced by adenosine. Caffeine also stimulates certain portions of the autonomic nervous system."
Tsunami,"A tsunami (plural: tsunamis or tsunami; from Japanese: 津波, lit. ""harbor wave""; English pronunciation: /tsuːˈnɑːmi/) , also known as a seismic sea wave, is a series of waves in a water body caused by the displacement of a large volume of water, generally in an ocean or a large lake. Earthquakes, volcanic eruptions and other underwater explosions (including detonations of underwater nuclear devices), landslides, glacier calvings, meteorite impacts and other disturbances above or below water all have the potential to generate a tsunami. Unlike normal ocean waves which are generated by wind or tides which are generated by the gravitational pull of the Moon and Sun, a tsunami is generated by the displacement of water."
Dark energy,"In physical cosmology and astronomy, dark energy is an unknown form of energy which is hypothesized to permeate all of space, tending to accelerate the expansion of the universe. Dark energy is the most accepted hypothesis to explain the observations since the 1990s indicating that the universe is expanding at an accelerating rate. Assuming that the standard model of cosmology is correct, the best current measurements indicate that dark energy contributes 68.3% of the total energy in the present-day observable universe. The mass–energy of dark matter and ordinary (baryonic) matter contribute 26.8% and 4.9%, respectively, and other components such as neutrinos and photons contribute a very small amount. Again on a mass–energy equivalence basis, the density of dark energy (6.91 × 10−27 kg/m3) is very low, much less than the density of ordinary matter or dark matter within galaxies. However, it comes to dominate the mass–energy of the universe because it is uniform across space."
Cyclic adenosine monophosphate,"Cyclic adenosine monophosphate (cAMP, cyclic AMP, or 3',5'-cyclic adenosine monophosphate) is a second messenger important in many biological processes. cAMP is a derivative of adenosine triphosphate (ATP) and used for intracellular signal transduction in many different organisms, conveying the cAMP-dependent pathway."
String theory,"In physics, string theory is a theoretical framework in which the point-like particles of particle physics are replaced by one-dimensional objects called strings. String theory describes how these strings propagate through space and interact with each other. On distance scales larger than the string scale, a string looks just like an ordinary particle, with its mass, charge, and other properties determined by the vibrational state of the string. In string theory, one of the many vibrational states of the string corresponds to the graviton, a quantum mechanical particle that carries gravitational force. Thus string theory is a theory of quantum gravity."
Klinefelter syndrome,"Klinefelter syndrome or Klinefelter's syndrome (KS) (/ˈklaɪnfɛltər/) also known as 47,XXY or XXY, is the set of symptoms that result from two or more X chromosome in males. The primary feature is sterility. Often symptoms may be subtle and many people do not realize they are affected. Sometimes symptoms are more prominent and may include weaker muscles, greater height, poor coordination, less body hair, smaller genitals, breast growth, and less interest in sex. Often it is only at puberty that these symptoms are noticed. Intelligence is usually normal; however, reading difficulties and problems with speech are more common. Symptoms are typically more severe if three or more X chromosomes are present."
Moon,"The Moon (in Greek: σελήνη Selene, in Latin: Luna) is Earth's only natural satellite. It is one of the largest natural satellites in the Solar System, and, among planetary satellites, the largest relative to the size of the planet it orbits (its primary). It is the second-densest satellite among those whose densities are known (after Jupiter's satellite Io)."
Salt,"Common salt is a mineral composed primarily of sodium chloride (NaCl), a chemical compound belonging to the larger class of salts; salt in its natural form as a crystalline mineral is known as rock salt or halite. Salt is present in vast quantities in seawater, where it is the main mineral constituent; the open ocean has about 35 grams (1.2 oz) of solids per litre, a salinity of 3.5%. Salt is essential for animal life, and saltiness is one of the basic human tastes. The tissues of animals contain larger quantities of salt than do plant tissues; therefore the typical diets of nomads who subsist on their flocks and herds require little or no added salt, whereas cereal-based diets require supplementation. Salt is one of the oldest and most ubiquitous of food seasonings, and salting is an important method of food preservation."
Gastrulation,"Gastrulation is a phase early in the embryonic development of most animals, during which the single-layered blastula is reorganized into a trilaminar (""three-layered"") structure known as the gastrula. These three germ layers are known as the ectoderm, mesoderm, and endoderm."
Methane,"Methane (/ˈmɛθeɪn/ or /ˈmiːθeɪn/) is a chemical compound with the chemical formula CH4 (one atom of carbon and four atoms of hydrogen). It is the simplest alkane and the main component of natural gas. The relative abundance of methane on Earth makes it an attractive fuel, though capturing and storing it poses challenges due to its gaseous state found at standard conditions for temperature and pressure. In its natural state, methane is found both below ground and under the sea floor, where it often finds its way to the surface and the atmosphere where it is known as atmospheric methane."
Copper,"Copper is a chemical element with symbol Cu (from Latin: cuprum) and atomic number 29. It is a soft, malleable and ductile metal with very high thermal and electrical conductivity. A freshly exposed surface of pure copper has a reddish-orange color. It is used as a conductor of heat and electricity, as a building material, and as a constituent of various metal alloys."
Apollo,"Apollo (Attic, Ionic, and Homeric Greek: Ἀπόλλων, Apollōn (GEN Ἀπόλλωνος); Doric: Ἀπέλλων, Apellōn; Arcadocypriot: Ἀπείλων, Apeilōn; Aeolic: Ἄπλουν, Aploun; Latin: Apollō) is one of the most important and complex of the Olympian deities in classical Greek and Roman religion and Greek and Roman mythology. The ideal of the kouros (a beardless, athletic youth), Apollo has been variously recognized as a god of music, truth and prophecy, healing, the sun and light, plague, poetry, and more. Apollo is the son of Zeus and Leto, and has a twin sister, the chaste huntress Artemis. Apollo is known in Greek-influenced Etruscan mythology as Apulu."
Y chromosome,"The Y chromosome is one of two sex chromosomes (allosomes) in mammals, including humans, and many other animals. The other is the X chromosome. Y is the sex-determining chromosome in many species, since it is the presence or absence of Y that determines the male or female sex of offspring produced in sexual reproduction. In mammals, the Y chromosome contains the gene SRY, which triggers testis development. The DNA in the human Y chromosome is composed of about 59 million base pairs. The Y chromosome is passed only from father to son. With a 30% difference between humans and chimpanzees, the Y chromosome is one of the fastest evolving parts of the human genome. To date, over 200 Y-linked genes have been identified. All Y-linked genes are expressed and (apart from duplicated genes) hemizygous (present on only one chromosome) except in the cases of aneuploidy such as XYY syndrome or XXYY syndrome. (See Y linkage.)"
Refractive index,"In optics the refractive index or index of refraction n of an material is a dimensionless number that describes how light, propagates through that medium. It is defined as"
Squaring the circle,"Squaring the circle is a problem proposed by ancient geometers. It is the challenge of constructing a square with the same area as a given circle by using only a finite number of steps with compass and straightedge. More abstractly and more precisely, it may be taken to ask whether specified axioms of Euclidean geometry concerning the existence of lines and circles entail the existence of such a square."
Ideal gas law,"The ideal gas law is the equation of state of a hypothetical ideal gas. It is a good approximation to the behavior of many gases under many conditions, although it has several limitations. It was first stated by Émile Clapeyron in 1834 as a combination of Boyle's law, Charles's law and Avogadro's Law. The ideal gas law is often written as:"
Correspondence principle,"This article discusses quantum theory and relativity. For other uses, see Correspondence principle (disambiguation)."
Inertia,"Inertia is the resistance of any physical object to any change in its state of motion (this includes changes to its speed, direction or state of rest). It is the tendency of objects to keep moving in a straight line at constant velocity. The principle of inertia is one of the fundamental principles of classical physics that are used to describe the motion of objects and how they are affected by applied forces. Inertia comes from the Latin word, iners, meaning idle, sluggish. Inertia is one of the primary manifestations of mass, which is a quantitative property of physical systems. Isaac Newton defined inertia as his first law in his Philosophiæ Naturalis Principia Mathematica, which states:"
John Dalton,"John Dalton FRS (6 September 1766 – 27 July 1844) was an English chemist, physicist, and meteorologist. He is best known for his pioneering work in the development of modern atomic theory; and his research into colour blindness, sometimes referred to as Daltonism, in his honour."
Gram staining,"Gram staining, also called Gram's method, is a method of differentiating bacterial species into two large groups (Gram-positive and Gram-negative). The name comes from the Danish bacteriologist Hans Christian Gram, who developed the technique."
Superfluid helium-4,"A superfluid is a state of matter in which the matter behaves like a fluid with zero viscosity. The substance, which looks like a normal liquid, will flow without friction past any surface, which allows it to continue to circulate over obstructions and through pores in containers which hold it, subject only to its own inertia."
BCS theory,"BCS theory is the first microscopic theory of superconductivity since its discovery in 1911. The theory describes superconductivity as a microscopic effect caused by a condensation of Cooper pairs into a boson-like state. The theory is also used in nuclear physics to describe the pairing interaction between nucleons in an atomic nucleus. It was proposed by John Bardeen, Leon Cooper, and John Robert Schrieffer (""BCS"") in 1957; they received the Nobel Prize in Physics for this theory in 1972."
Nitrogen,"Nitrogen is a chemical element with symbol N and atomic number 7. It is the lightest pnictogen and at room temperature, it is a transparent, odorless diatomic gas. Nitrogen is a common element in the universe, estimated at about seventh in total abundance in the Milky Way and the Solar System. On Earth, the element forms about 78% of Earth's atmosphere and as such is the most abundant uncombined element. The element nitrogen was discovered as a separable component of air, by Scottish physician Daniel Rutherford, in 1772."
Particle in a box,"In quantum mechanics, the particle in a box model (also known as the infinite potential well or the infinite square well) describes a particle free to move in a small space surrounded by impenetrable barriers. The model is mainly used as a hypothetical example to illustrate the differences between classical and quantum systems. In classical systems, for example a ball trapped inside a large box, the particle can move at any speed within the box and it is no more likely to be found at one position than another. However, when the well becomes very narrow (on the scale of a few nanometers), quantum effects become important. The particle may only occupy certain positive energy levels. Likewise, it can never have zero energy, meaning that the particle can never ""sit still"". Additionally, it is more likely to be found at certain positions than at others, depending on its energy level. The particle may never be detected at certain positions, known as spatial nodes."
Bubble chamber,"A bubble chamber is a vessel filled with a superheated transparent liquid (most often liquid hydrogen) used to detect electrically charged particles moving through it. It was invented in 1952 by Donald A. Glaser, for which he was awarded the 1960 Nobel Prize in Physics. Supposedly, Glaser was inspired by the bubbles in a glass of beer; however, in a 2006 talk, he refuted this story, although saying that while beer was not the inspiration for the bubble chamber, he did experiments using beer to fill early prototypes."
Cannizzaro reaction,"The Cannizzaro reaction, named after its discoverer Stanislao Cannizzaro, is a chemical reaction that involves the base-induced disproportionation of an aldehyde lacking a hydrogen atom in the alpha position."
Angular momentum,"In physics, angular momentum (rarely, moment of momentum or rotational momentum) is the rotational analog of linear momentum. It is an important quantity in physics because it is a conserved quantity – the angular momentum of a system remains constant unless acted on by an external torque."
Gibbs-Duhem equation,"In thermodynamics, the Gibbs–Duhem equation describes the relationship between changes in chemical potential for components in a thermodynamical system:"
Albert Einstein,"Albert Einstein (/ˈaɪnstaɪn/; German: [ˈalbɐrt ˈaɪnʃtaɪn]; 14 March 1879 – 18 April 1955) was a German-born theoretical physicist. He developed the general theory of relativity, one of the two pillars of modern physics (alongside quantum mechanics). Einstein's work is also known for its influence on the philosophy of science. Einstein is best known in popular culture for his mass–energy equivalence formula E = mc2 (which has been dubbed ""the world's most famous equation""). He received the 1921 Nobel Prize in Physics for his ""services to theoretical physics"", in particular his discovery of the law of the photoelectric effect, a pivotal step in the evolution of quantum theory."
Elasticity (physics),"In physics, elasticity (from Greek ἐλαστός ""ductible"") is the ability of a body to resist a distorting influence or stress and to return to its original size and shape when the stress is removed. Solid objects will deform when forces are applied on them. If the material is elastic, the object will return to its initial shape and size when these forces are removed."
Electronegativity,"Electronegativity, symbol χ, is a chemical property that describes the tendency of an atom or a functional group to attract electrons (or electron density) towards itself. An atom's electronegativity is affected by both its atomic number and the distance at which its valence electrons reside from the charged nucleus. The higher the associated electronegativity number, the more an element or compound attracts electrons towards it. The term ""electronegativity"" was introduced by Jöns Jacob Berzelius in 1811, though the concept was known even before that and was studied by many chemists including Avogadro. In spite of its long history, an accurate scale of electronegativity had to wait till 1932, when Linus Pauling proposed an electronegativity scale, which depends on bond energies, as a development of valence bond theory. It has been shown to correlate with a number of other chemical properties. Electronegativity cannot be directly measured and must be calculated from other atomic or molecular properties. Several methods of calculation have been proposed, and although there may be small differences in the numerical values of the electronegativity, all methods show the same periodic trends between elements."
Zeta potential,"Zeta potential is a scientific term for electrokinetic potential in colloidal dispersions. In the colloidal chemistry literature, it is usually denoted using the Greek letter zeta (ζ), hence ζ-potential. From a theoretical viewpoint, the zeta potential is the electric potential in the interfacial double layer (DL) at the location of the slipping plane relative to a point in the bulk fluid away from the interface. In other words, zeta potential is the potential difference between the dispersion medium and the stationary layer of fluid attached to the dispersed particle."
Phenolphthalein,"Phenolphthalein /ˌfiːnɒlfˈθeɪliːn/ is a chemical compound with the formula C20H14O4 and is often written as ""HIn"" or ""phph"" in shorthand notation. Phenolphthalein is often used as an indicator in acid–base titrations. For this application, it turns colorless in acidic solutions and pink in basic solutions."
