answer,question
Linus Pauling,"Linus Carl Pauling (February 28, 1901 – August 19, 1994) was an American chemist, biochemist, peace activist, author, and educator. He published more than 1200 papers and books, of which about 850 dealt with scientific topics. New Scientist reportedly called him one of the 20 greatest scientists of all time, and as of 2000, he was rated the 16th most important scientist in history. Pauling was one of the founders of the fields of quantum chemistry and molecular biology. For his scientific work, Pauling was awarded the Nobel Prize in Chemistry in 1954. In 1962, for his peace activism, he was awarded the Nobel Peace Prize. This makes him the only person to be awarded two unshared Nobel Prizes. He is one of only four individuals to have won more than one Nobel Prize (the others being Marie Curie, John Bardeen, and Frederick Sanger). Pauling is also one of only two people to be awarded Nobel Prizes in different fields, the other being Marie Curie. Pauling also worked on DNA's structure, a problem which was solved by James Watson, Francis Crick and Maurice Wilkins. In his later years he promoted orthomolecular medicine, megavitamin therapy, dietary supplements, and taking large doses of vitamin C, none of which have gained acceptance in the mainstream scientific community."
Carmichael number,"In number theory, a Carmichael number is a composite number  which satisfies the modular arithmetic congruence relation:  for all integers  which are relatively prime to . They are named for Robert Carmichael. The Carmichael numbers are the subset K1 of the Knödel numbers."
Obsidian,"Obsidian is a naturally occurring volcanic glass formed as an extrusive igneous rock. It is produced when felsic lava extruded from a volcano cools rapidly with minimum crystal growth. Obsidian is commonly found within the margins of rhyolitic lava flows known as obsidian flows, where the chemical composition (high silica content) induces a high viscosity and polymerization degree of the lava. The inhibition of atomic diffusion through this highly viscous and polymerized lava explains the lack of crystal growth. Obsidian is hard and brittle; it therefore fractures with very sharp edges, which were used in the past in cutting and piercing tools, and it has been used experimentally as surgical scalpel blades. "
Moon,"The Moon (in Greek: σελήνη Selene, in Latin: Luna) is Earth's only natural satellite. It is one of the largest natural satellites in the Solar System, and, among planetary satellites, the largest relative to the size of the planet it orbits (its primary). It is the second-densest satellite among those whose densities are known (after Jupiter's satellite Io). The Moon is thought to have formed approximately 4.5 billion years ago, not long after Earth. There are several hypotheses for its origin; the most widely accepted explanation is that the Moon formed from the debris left over after a giant impact between Earth and a Mars-sized body called Theia. The Moon is in synchronous rotation with Earth, always showing the same face with its near side marked by dark volcanic maria that fill between the bright ancient crustal highlands and the prominent impact craters. It is the second-brightest regularly visible celestial object in Earth's sky after the Sun, as measured by illuminance on Earth's surface. Although it can appear a very bright white, its surface is actually dark, with a reflectance just slightly higher than that of worn asphalt. Its prominence in the sky and its regular cycle of phases have, since ancient times, made the Moon an important cultural influence on language, calendars, art, and mythology."
Aldosterone,"Aldosterone is a steroid hormone (mineralocorticoid family) produced by the outer section (zona glomerulosa) of the adrenal cortex in the adrenal gland. It plays a central role in the regulation of blood pressure mainly by acting on the distal tubules and collecting ducts of the nephron, increasing reabsorption of ions and water in the kidney, to cause the conservation of sodium, secretion of potassium, increase in water retention, and increase in blood pressure and blood volume. When dysregulated, aldosterone is pathogenic and contributes to the development and progression of cardiovascular and renal disease. Aldosterone has exactly the opposite function of the atrial natriuretic hormone secreted by the heart. Aldosterone is part of the renin–angiotensin system. Drugs that interfere with the secretion or action of aldosterone are in use as antihypertensives, like lisinopril, which lowers blood pressure by blocking the angiotensin-converting enzyme (ACE), leading to lower aldosterone secretion. The net effect of these drugs is to reduce sodium and water retention but increase retention of potassium. Another example is spironolactone, a potassium-sparing diuretic, which decreases blood pressure by releasing fluid from the body while retaining potassium. It was first isolated by Simpson and Tait in 1953. "
Chaperone (protein),"In molecular biology, molecular chaperones are proteins that assist the covalent folding or unfolding and the assembly or disassembly of other macromolecular structures. Chaperones are present when the macromolecules perform their normal biological functions and have correctly completed the processes of folding and/or assembly. The chaperones are concerned primarily with protein folding. The first protein to be called a chaperone assists the assembly of nucleosomes from folded histones and DNA and such assembly chaperones, especially in the nucleus, are concerned with the assembly of folded subunits into oligomeric structures. One major function of chaperones is to prevent both newly synthesised polypeptide chains and assembled subunits from aggregating into nonfunctional structures. It is for this reason that many chaperones, but by no means all, are heat shock proteins because the tendency to aggregate increases as proteins are denatured by stress. In this case, chaperones do not convey any additional steric information required for proteins to fold. However, some highly specific 'steric chaperones' do convey unique structural (steric) information onto proteins, which cannot be folded spontaneously. Such proteins violate Anfinsen's dogma, requiring protein dynamics to fold correctly. Various approaches have been applied to study the structure, dynamics and functioning of chaperones. Bulk biochemical measurements have informed us on the protein folding efficiency, and prevention of aggregation when chaperones are present during protein folding. Recent advances in single-molecule analysis have brought insights into structural heterogeneity of chaperones, folding intermediates and affinity of chaperones for unstructured and structured protein chains."
Fragile X syndrome,"Fragile X syndrome (FXS), also known as Martin–Bell syndrome, or Escalante's syndrome (more commonly used in South American countries), is a genetic syndrome. Nearly half of all children with fragile X syndrome meet the criteria for a diagnosis of autism. It is an inherited cause of intellectual disability especially among boys. It results in a spectrum of intellectual disabilities ranging from mild to severe as well as physical characteristics such as an elongated face, large or protruding ears, and large testes (macroorchidism), and behavioral characteristics such as stereotypic movements (e.g. hand-flapping), and social anxiety. Fragile X syndrome is associated with the expansion of the CGG trinucleotide repeat affecting the Fragile X mental retardation 1 (FMR1) gene on the X chromosome, resulting in a failure to express the fragile X mental retardation protein (FMRP), which is required for normal neural development. Depending on the length of the CGG repeat, an allele may be classified as normal (unaffected by the syndrome), a premutation (at risk of fragile X associated disorders), or full mutation (usually affected by the syndrome). A definitive diagnosis of fragile X syndrome is made through genetic testing to determine the number of CGG repeats. Testing for premutation carriers can also be carried out to allow for genetic counseling. The first complete DNA sequence of the repeat expansion in someone with the full mutation was generated by scientists in 2012 using SMRT sequencing. There is currently no drug treatment that has shown benefit specifically for fragile X syndrome. However, medications are commonly used to treat symptoms of attention deficit and hyperactivity, anxiety, and aggression. Supportive management is important in optimizing functioning in individuals with fragile X syndrome, and may involve speech therapy, occupational therapy, and individualized educational and behavioral programs."
Gametophyte,"A gametophyte is the haploid multicellular stage in the alternation of generations life cycle of plants and algae. It develops from a spore by mitotic cell division. Spores are the products of meiosis in sporophytes. Gametophytes produce haploid gametes by mitosis. In some types of plants and algae (e.g. Ulva) gametes are isogamous--that is, the gametes are all of one size, shape and general morphology. In land plants, anisogamy is universal. As in animals, female and male gametes are called, respectively, eggs and sperm. The fusion of male and female gametes produces a diploid zygote, which develops by repeated mitotic cell divisions into a multicellular sporophyte. In bryophytes (mosses, liverworts, and hornworts), the gametophyte represents the longer lived, nutritionally independent and more visible stage of the life cycle. Sporophytes are typically attached to and dependent on gametophytes. Moss gametophytes originate from the germination of a spore. The initial phase of growth leads to a filament of cells (called the protonema). The mature gametophyte of mosses produces gametangia (gamete-producing structures). Eggs develop in archegonia and sperm in antheridia. In gametophyte dominant organisms, such as bryophytes, specialized structures or even whole individual plants that produce gametes are sometimes called gametophores (or gametangiophores)."
Quetzalcoatl,"Quetzalcoatl /ˌkɛtsɑːlˈkoʊɑːtəl/; (Spanish pronunciation: [ketsalˈkoatɬ]) (Classical Nahuatl: Quetzalcohuātl [ket͡saɬˈkowaːt͡ɬ]) is a Mesoamerican deity whose name comes from the Nahuatl language and means ""feathered serpent"". The worship of a feathered serpent is first known documented in Teotihuacan in the first century BC or first century AD. That period lies within the Late Preclassic to Early Classic period (400 BC – 600 AD) of Mesoamerican chronology, and veneration of the figure appears to have spread throughout Mesoamerica by the Late Classic (600–900 AD). In the Postclassic period (900–1519 AD), the worship of the feathered serpent deity was based in the primary Mexican religious center of Cholula. It is in this period that the deity is known to have been named ""Quetzalcoatl"" by his Nahua followers. In the Maya area he was approximately equivalent to Kukulcan and Gukumatz, names that also roughly translate as ""feathered serpent"" in different Mayan languages. A prominent symbol of the priests of Quetzalcoatl was a symbol known in Nahuatl as a ""ehecacozcatl"" which translates in to English as a ""wind jewel."" This talisman was a conch shell cut at the cross-section and was likely worn as a necklace by religious rulers as they have been discovered in burials in archaeological sites throughout Mesoamerica and potentially symbolized patterns witnessed in hurricanes, dust devils, seashells, and whirlpools which were elemental forces that had meaning in the Aztec religious mythology. In codex illustrations depicting Quetzalcoatl and Xolotl they are both depicted wearing an ehecaicozcatl around each of their necks. There has also been at least one major cache of offerings with knives and idols adorned with the symbols of multiple gods, some of which were adorned with wind jewels."
Herpesviridae,"Herpesviridae is a large family of DNA viruses that cause diseases in animals, including humans. The members of this family are also known as herpesviruses. The family name is derived from the Greek word herpein (""to creep""), referring to the latent, recurring infections typical of this group of viruses. Herpesviridae can cause latent or lytic infections. At least five species of Herpesviridae – HSV-1 and HSV-2 (both of which can cause orolabial herpes and genital herpes), Varicella zoster virus (which causes chicken-pox and shingles), Epstein-Barr virus (which causes mononucleosis), and Cytomegalovirus – are extremely widespread among humans. More than 90% of adults have been infected with at least one of these, and a latent form of the virus remains in most people. In total, there are 8 herpesvirus types that infect humans: herpes simplex viruses 1 and 2, varicella-zoster virus, EBV (Epstein-Barr virus), human cytomegalovirus, human herpesvirus 6, human herpesvirus 7, and Kaposi's sarcoma-associated herpesvirus. There are more than 130 herpesviruses, and some are from mammals, birds, fish, reptiles, amphibians, and molluscs. "
Infrared spectroscopy,"Infrared spectroscopy (IR spectroscopy or Vibrational Spectroscopy) is the spectroscopy that deals with the infrared region of the electromagnetic spectrum, that is light with a longer wavelength and lower frequency than visible light. It covers a range of techniques, mostly based on absorption spectroscopy. As with all spectroscopic techniques, it can be used to identify and study chemicals. For a given sample which may be solid, liquid, or gaseous, the method or technique of infrared spectroscopy uses an instrument called an infrared spectrometer (or spectrophotometer) to produce an infrared spectrum. A basic IR spectrum is essentially a graph of infrared light absorbance (or transmittance) on the vertical axis vs. frequency or wavelength on the horizontal axis. Typical units of frequency used in IR spectra are reciprocal centimeters (sometimes called wave numbers), with the symbol cm−1. Units of IR wavelength are commonly given in micrometers (formerly called ""microns""), symbol μm, which are related to wave numbers in a reciprocal way. A common laboratory instrument that uses this technique is a Fourier transform infrared (FTIR) spectrometer. Two-dimensional IR is also possible as discussed below. The infrared portion of the electromagnetic spectrum is usually divided into three regions; the near-, mid- and far- infrared, named for their relation to the visible spectrum. The higher-energy near-IR, approximately 14000–4000 cm−1 (0.8–2.5 μm wavelength) can excite overtone or harmonic vibrations. The mid-infrared, approximately 4000–400 cm−1 (2.5–25 μm) may be used to study the fundamental vibrations and associated rotational-vibrational structure. The far-infrared, approximately 400–10 cm−1 (25–1000 μm), lying adjacent to the microwave region, has low energy and may be used for rotational spectroscopy. The names and classifications of these subregions are conventions, and are only loosely based on the relative molecular or electromagnetic properties. "
Eigenvalue,"In linear algebra, an eigenvector or characteristic vector of a square matrix is a vector that does not change its direction under the associated linear transformation. In other words—if v is a vector that is not zero, then it is an eigenvector of a square matrix A if Av is a scalar multiple of v. This condition could be written as the equation:  where λ is a scalar known as the eigenvalue or characteristic value associated with the eigenvector v. Geometrically, an eigenvector corresponding to a real, nonzero eigenvalue points in a direction that is stretched by the transformation and the eigenvalue is the factor by which it is stretched. If the eigenvalue is negative, the direction is reversed."
Louis de Broglie,"Louis-Victor-Pierre-Raymond, 7th duc de Broglie (/dəˈbrɔɪ/; French: [dəbʁɔj] or [dəbʁœj]; 15 August 1892 – 19 March 1987) was a French physicist who made groundbreaking contributions to quantum theory. In his 1924 PhD thesis he postulated the wave nature of electrons and suggested that all matter has wave properties. This concept is known as the de Broglie hypothesis, an example of wave-particle duality, and forms a central part of the theory of quantum mechanics. De Broglie won the Nobel Prize for Physics in 1929, after the wave-like behaviour of matter was first experimentally demonstrated in 1927. The 1925's pilot-wave picture, and the wave-like behaviour of particles discovered by de Broglie was used by Erwin Schrödinger in his formulation of wave mechanics. The pilot-wave model and interpretation was then abandoned, in favor of the quantum formalism, until 1952 when it was rediscovered and enhanced by David Bohm."
Translation (biology),"In molecular biology and genetics, translation is the process in which cellular ribosomes create proteins. In translation, messenger RNA (mRNA)—produced by transcription from DNA—is decoded by a ribosome to produce a specific amino acid chain, or polypeptide. The polypeptide later folds into an active protein and performs its functions in the cell. The ribosome facilitates decoding by inducing the binding of complementary tRNA anticodon sequences to mRNA codons. The tRNAs carry specific amino acids that are chained together into a polypeptide as the mRNA passes through and is ""read"" by the ribosome. The entire process is a part of gene expression. In brief, translation proceeds in four phases:"
Pride and Prejudice,"Pride and Prejudice is a novel of manners by Jane Austen, first published in 1813. The story follows the main character, Elizabeth Bennet, as she deals with issues of manners, upbringing, morality, education, and marriage in the society of the landed gentry of the British Regency. Elizabeth is the second of five daughters of a country gentleman, Mr. Bennet living in Longbourn.  Set in England in the early 19th century, Pride and Prejudice tells the story of Mr and Mrs Bennet's five unmarried daughters after the rich and eligible Mr Bingley and his status-conscious friend, Mr Darcy, have moved into their neighbourhood. While Bingley takes an immediate liking to the eldest Bennet daughter, Jane, Darcy has difficulty adapting to local society and repeatedly clashes with the second-eldest Bennet daughter, Elizabeth."
Lattice energy,"The lattice energy of a crystalline solid is usually defined as the energy of formation of the crystal from infinitely-separated ions and as such is invariably negative. The concept of lattice energy was originally developed for rocksalt-structured and sphalerite-structured compounds like NaCl and ZnS, where the ions occupy high-symmetry crystal lattice sites. In the case of NaCl, the lattice energy is the energy released by the reaction Na+ (g) + Cl− (g) → NaCl (s) which would amount to -786 kJ/mol."
Cytokine,"Cytokines (cyto, from Greek ""κύτταρο"" kyttaro ""cell"" + kines, from Greek ""κίνηση"" kinisi ""movement"") are a broad and loose category of small proteins (~5–20 kDa) that are important in cell signaling. They are released by cells and affect the behavior of other cells. Cytokines can also be involved in autocrine signaling. Cytokines include chemokines, interferons, interleukins, lymphokines, tumour necrosis factor but generally not hormones or growth factors (despite some overlap in the terminology). Cytokines are produced by a broad range of cells, including immune cells like macrophages, B lymphocytes, T lymphocytes and mast cells, as well as endothelial cells, fibroblasts, and various stromal cells; a given cytokine may be produced by more than one type of cell. They act through receptors, and are especially important in the immune system; cytokines modulate the balance between humoral and cell-based immune responses, and they regulate the maturation, growth, and responsiveness of particular cell populations. Some cytokines enhance or inhibit the action of other cytokines in complex ways. They are different from hormones, which are also important cell signaling molecules, in that hormones circulate in less variable concentrations and hormones tend to be made by specific kinds of cells."
X-ray,"X-radiation (composed of X-rays) is a form of electromagnetic radiation. Most X-rays have a wavelength ranging from 0.01 to 10 nanometers, corresponding to frequencies in the range 30 petahertz to 30 exahertz (3×1016 Hz to 3×1019 Hz) and energies in the range 100 eV to 100 keV. X-ray wavelengths are shorter than those of UV rays and typically longer than those of gamma rays. In many languages, X-radiation is referred to with terms meaning Röntgen radiation, after Wilhelm Röntgen, who is usually credited as its discoverer, and who had named it X-radiation to signify an unknown type of radiation. Spelling of X-ray(s) in the English language includes the variants x-ray(s), xray(s), and X ray(s). X-rays with photon energies above 5–10 keV (below 0.2–0.1 nm wavelength) are called hard X-rays, while those with lower energy are called soft X-rays. Due to their penetrating ability, hard X-rays are widely used to image the inside of objects, e.g., in medical radiography and airport security. As a result, the term X-ray is metonymically used to refer to a radiographic image produced using this method, in addition to the method itself. Since the wavelengths of hard X-rays are similar to the size of atoms they are also useful for determining crystal structures by X-ray crystallography. By contrast, soft X-rays are easily absorbed in air; the attenuation length of 600 eV (~2 nm) X-rays in water is less than 1 micrometer. There is no consensus for a definition distinguishing between X-rays and gamma rays. One common practice is to distinguish between the two types of radiation based on their source: X-rays are emitted by electrons, while gamma rays are emitted by the atomic nucleus. This definition has several problems: other processes also can generate these high-energy photons, or sometimes the method of generation is not known. One common alternative is to distinguish X- and gamma radiation on the basis of wavelength (or, equivalently, frequency or photon energy), with radiation shorter than some arbitrary wavelength, such as 10−11 m (0.1 Å), defined as gamma radiation. This criterion assigns a photon to an unambiguous category, but is only possible if wavelength is known. (Some measurement techniques do not distinguish between detected wavelengths.) However, these two definitions often coincide since the electromagnetic radiation emitted by X-ray tubes generally has a longer wavelength and lower photon energy than the radiation emitted by radioactive nuclei. Occasionally, one term or the other is used in specific contexts due to historical precedent, based on measurement (detection) technique, or based on their intended use rather than their wavelength or source. Thus, gamma-rays generated for medical and industrial uses, for example radiotherapy, in the ranges of 6–20 MeV, can in this context also be referred to as X-rays."
Xylem,"Xylem is one of the two types of transport tissue in vascular plants, phloem being the other. The word xylem is derived from the Greek word ξύλον (xylon), meaning ""wood""; the best-known xylem tissue is wood, though it is found throughout the plant. The basic function of xylem is to transport water, but it also transports some nutrients. "
Vorticity,"In continuum mechanics, the vorticity is a pseudovector field that describes the local spinning motion of a continuum near some point (the tendency of something to rotate ), as would be seen by an observer located at that point and traveling along with the flow. Conceptually, vorticity could be determined by marking the part of continuum in a small neighborhood of the point in question, and watching their relative displacements as they move along the flow. The vorticity vector would be twice the mean angular velocity vector of those particles relative to their center of mass, oriented according to the right-hand rule. This quantity must not be confused with the angular velocity of the particles relative to some other point. More precisely, the vorticity is a pseudovector field ω→, defined as the curl (rotational) of the flow velocity u→ vector. The definition can be expressed by the vector analysis formula:"
Phosphorescence,"Phosphorescence is a specific type of photoluminescence related to fluorescence. Unlike fluorescence, a phosphorescent material does not immediately re-emit the radiation it absorbs. The slower time scales of the re-emission are associated with ""forbidden"" energy state transitions in quantum mechanics. As these transitions occur very slowly in certain materials, absorbed radiation may be re-emitted at a lower intensity for up to several hours after the original excitation. Commonly seen examples of phosphorescent materials are the glow-in-the-dark toys, paint, and clock dials that glow for some time after being charged with a bright light such as in any normal reading or room light. Typically the glowing then slowly fades out within minutes to up to a few hours in a dark room. The study of phosphorescent materials led to the discovery of radioactivity in 1896."
